Filename-->;fres200_1.4s_15deg.RAW8;fres200_1.4s_15deg_dark.RAW8;fres200_5ms_0deg.RAW8;fres200_5ms_0deg_dark.RAW8;IL200_4.5ms_15deg.RAW8;IL200_4.5ms_15deg_dark.RAW8;IL200_5.1ms_0deg.RAW8;IL200_5.1ms_0deg_dark.RAW8;water200_1.6s_15deg.RAW8;water200_1.6s_15deg_dark.RAW8;water200_73ms_0deg.RAW8;water200_73ms_0deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;1357,346436;1357,346436;5,054951668;5,054951668;4,513449192;4,513449192;5,143992424;5,143992424;1565,496338;1565,496338;73,29917145;73,29917145
NrOfAverages-->;1;1;99;99;100;100;97;97;1;1;7;7
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];fresnel 200 mu 1.4 s 15 deg;fresnel 200 mu 1.4 s 15 deg dark;fresnel 200 mu 5 ms 0 deg ;fresnel 200 mu 5 ms 0 deg dark;200 mu 4.5 ms 15 deg IL;200 mu 4.5 ms 15 deg IL dark;200 mu 5.1 ms 0 deg IL;200 mu 5.1 ms 0 deg IL dark;200 mu 1.6 s 15 deg water ;200 mu 1.6 s 15 deg water dark;200 mu 73 ms 0 deg water ;200 mu 73 ms 0 deg water dark
168,952;4145,568848;4012,859131;61,74108887;32,9733429;94,99172211;33,25492859;95,79779816;33,16032028;4837,580566;4763,652832;243,8470917;201,7753754
169,516;3969,220215;3930,50293;65,5428009;35,28748322;99,02547455;33,63582611;99,39350891;35,408638;4693,510742;4621,23291;240,2129669;205,3330078
170,080;4073,247803;4014,204102;64,40153503;36,90449142;96,17392731;35,71657944;98,06596375;36,36815262;4789,772949;4706,880371;241,8013458;214,4642944
170,644;4087,16626;4058,343262;63,67604446;35,27783585;94,62625122;34,79623032;96,86725616;35,39873123;4810,582031;4730,044434;239,6756744;204,0411072
171,208;3864,034424;3857,778076;53,90050125;30,36751366;84,56561279;30,05513382;86,00241852;30,27392578;4538,109375;4502,557617;218,9225616;181,4865112
171,772;4037,927734;4038,610352;62,43587494;33,27708054;92,38594055;33,24555588;95,00296021;33,02692413;4799,134277;4736,359375;238,4369812;203,7657318
172,336;4202,451172;4207,234863;61,83031464;34,4397583;92,83428192;34,90650177;95,24617004;34,54333496;4930,95166;4939,916992;244,4386444;216,1797638
172,900;4058,964355;4049,464355;62,18280792;33,40880585;92,29465485;33,785923;92,88440704;33,57368469;4795,285156;4780,1875;237,7702332;207,4743652
173,464;4195,451172;4178,234863;62,03233337;34,06602097;92,78427887;34,60650253;94,07091522;33,85261154;4948,95166;4930,916992;244,4386444;215,036911
174,028;4149,166504;4052,343262;58,65584183;31,57076454;88,22624969;31,5762291;89,23839569;32,2750206;4866,582031;4798,044434;226,9613953;206,8982544
174,592;4124,636719;4064,869385;58,25437546;29,16523361;89,18516541;29,59490395;87,93346405;29,32524109;4860,640137;4740,665039;223,5357056;190,0614777
175,156;4330,738281;4311,430176;58,46172714;32,56041718;88,63982391;31,78601074;87,8548584;32,92428589;5124,086426;5065,146973;241,0938873;212,7587585
175,719;4377,304199;4306,66748;55,05856323;29,82237244;83,29066467;29,4154129;82,97661591;29,95461655;5149,46582;5114,426758;239,9452057;207,4822235
176,283;4199,98291;4128,921875;48,1674614;26,50852013;75,56391144;25,9047718;75,22140503;26,00552177;4936,945313;4878,727051;225,7061157;191,0635071
176,847;3951,604004;3885,561279;50,87571716;28,36812782;78,87168121;27,02568054;79,49220276;27,3363266;4628,849121;4579,301758;219,1627655;187,6209717
177,411;3744,931641;3653,15625;54,95564651;30,61170006;84,22116852;29,80669975;84,2678833;30,87343025;4424,494141;4396,82373;216,825882;185,7481384
