Filename-->;fres400_280ms_15deg.RAW8;fres400_280ms_15deg_dark.RAW8;fres400_6ms.RAW8;fres400_6ms_dark.RAW8;IL400_5.5ms_15deg.RAW8;IL400_5.5ms_15deg_dark.RAW8;IL400_6ms.RAW8;IL400_6ms_dark.RAW8;water400_107ms.RAW8;water400_107ms_dark.RAW8;water400_2s_15deg.RAW8;water400_2s_15deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;280,3145447;280,3145447;6,476144314;6,476144314;5,549795628;5,549795628;6,034845829;6,034845829;107,0538025;107,0538025;2024,007935;2024,007935
NrOfAverages-->;2;2;77;77;90;90;83;83;5;5;1;1
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];400 mu 280 ms 15 deg fresnel;400 mu 280 ms 15 deg fresnel dark;fresnel reflectie 400 micron fiber onder 0 graden. 6 ms licht;400 mu 6ms dark;400 mu 5.5ms 15deg IL;400mu 5.5ms 15deg IL dark;400 mu 6 ms IL;400 mu 6 ms IL dark;400 mu flat 107 ms water;400 mu 107 ms water dark;400 mu 2s 15deg water;400 mu 2s 15deg water
157,100;1239,566284;1163,83374;104,5683441;34,42983246;118,112999;35,82025528;120,9198837;34,64687347;489,5914917;405,2064514;8447,419922;8469,462891
157,664;1192,341675;1126,180908;113,4128494;41,3654747;130,3359528;42,40953064;131,4688416;41,57516479;483,7687073;403,3561096;8066,653809;8001,317871
158,229;1277,687866;1198,131958;118,3656769;46,52150726;133,294342;46,92076492;136,7120667;46,64763641;511,7192993;440,1399536;8647,126953;8494,951172
158,793;1313,239746;1243,155884;120,7463074;48,70323181;134,8477478;48,54292679;138,4590759;48,47887421;524,6178589;454,7478333;8834,873047;8797,129883
159,358;1267,771118;1193,895264;104,8773575;39,29972839;116,9931564;39,95343399;121,2899704;39,06832886;494,8163147;420,2267151;8662,336914;8679,922852
159,922;1241,348877;1153,271973;113,9475937;43,39110565;124,5435791;43,75374603;128,8154144;42,86397552;494,153595;416,5861206;8449,494141;8341
160,487;1239,390015;1162,659302;117,3053207;48,01490784;130,0521851;47,54291916;134,5365143;47,75597;497,7747803;425,9489746;8427,979492;8319,155273
161,051;1222,164673;1117,472412;106,6045761;40,19554138;119,2159424;40,70879745;122,640564;41,18851852;478,7604065;395,4521179;8425,742188;8313,500977
161,616;1195,122559;1104,255493;112,503273;44,14441299;125,3887253;45,55378723;128,8968811;46,28572464;465,9950867;407,3806763;8238,979492;8066,875977
162,180;1213,258545;1115,894897;99,11107635;36,84518433;113,4927826;36,86454773;116,7122345;37,46591949;476,0032349;403,2266235;8387,328125;8274,920898
162,745;1207,881104;1130,363647;105,8980255;40,71543503;119,0630722;40,86462784;123,437973;41,38169861;471,5646667;405,4162903;8360,351563;8217,686523
163,309;1143,542114;1017,821777;91,572258;32,5188942;101,9605103;31,11902428;105,4904633;32,48839951;432,8200073;341,9672852;7708,641602;7652,118164
163,874;1102,780884;997,8613892;104,365181;40,89725876;115,3600998;41,49796677;119,6594238;41,81544495;429,0600586;363,015564;7395,28125;7289,669434
164,438;1288,754028;1206,178955;113,3865433;48,85898972;125,166687;49,3428688;129,2559814;50,02095413;504,0771484;440,7554321;8782,591797;8632,302734
165,002;1208,831909;1126,214844;106,236702;44,15755463;119,6134415;46,2761116;123,1114273;47,10515594;474,3249512;403,9672546;8233,709961;8100,571289
165,566;1178,454468;1083,183472;105,0366516;43,63819504;116,7948456;44,08730316;121,8010254;44,59925079;460,4863892;393,5569458;7867,733887;7830,336914
166,131;1115,426758;1034,648804;107,6282349;45,66429901;117,594017;44,65405655;121,4131622;44,39456177;445,8908997;384,1455078;7536,650879;7497,07666
166,695;1228,324707;1167,282837;102,6117554;41,84561157;113,7910156;41,55371857;117,1671219;42,3217659;486,8505554;413,9896851;8514,831055;8381,081055
167,259;1124,133301;1021,39209;98,68201447;38,88415527;108,8557281;37,12010956;114,0312119;38,97195435;446,4724426;365,4256897;7750,239746;7662,899414
167,823;1083,157471;1003,381287;94,47241211;36,48160172;106,4860764;35,2868042;109,0650558;35,91175461;422,3754883;347,822113;7449,902344;7332,818359
168,388;1124,122559;1054,755493;96,0746994;39,17038727;111,1887207;39,45378876;113,3065186;40,9483757;428,9950867;373,1806641;7679,979492;7636,875977
168,952;1100,246948;1033,246948;98,08625793;39,41717529;110,1998215;39,99825287;114,4803543;40,00864792;421,2027588;376,5778503;7445,712891;7459,812012
169,516;1066,339966;1005,158203;101,3830643;42,13179779;112,0840454;42,4429245;117,0327988;42,45476913;429,5224609;378,548584;7368,943848;7174,146973
170,080;1096,559082;1046,083618;100,3575668;44,14506531;112,4534836;43,69866562;115,1107712;43,04541016;434,8960571;379,3240356;7480,618652;7366,588867
170,644;1081,086792;1035,118408;100,2465057;42,10597229;110,4320831;42,47635651;113,2456207;43,14166641;432,2915649;380,1354675;7483,701172;7419,848633
171,208;1029,857788;936,7267456;90,40753174;36,15750885;100,3956909;35,98719406;104,1234818;37,50270081;403,8742065;346,5711975;7146,083008;7042,661133
171,772;1091,01709;1037,184937;96,66027069;40,1706543;106,3411407;39,23174286;110,8704453;41,97274017;427,9517822;371,7574158;7492,77832;7392,347656
172,336;1142,397217;1082,591309;95,98223114;42,65153122;106,9301682;41,86531448;111,7097397;43,06947708;449,249176;396,9265442;7767,858398;7746,645996
172,900;1110,914185;1043,64856;94,61520386;40,41754532;105,8936462;40,63183594;110,148674;41,33432388;428,4778137;376,3453979;7495,64209;7524,074707
173,464;1140,897217;1091,091309;95,04716492;42,79438782;106,252388;42,26531219;109,5772095;42,90080261;435,249176;392,1265564;7794,858398;7692,645996
174,028;1098,586792;1049,118408;93,96079254;40,10597229;102,0320816;39,42079926;106,1251373;39,9488945;424,891571;379,1354675;7584,701172;7531,848633
174,592;1084,859619;1023,749512;92,15161133;35,88469696;102,0698166;36,60935974;106,6197662;36,80381775;412,1204529;367,9786987;7596,792969;7457,831543
175,156;1165,038452;1116,640015;92,67871094;40,06692886;101,7714081;39,95407867;105,0815582;41,25001907;442,4854736;398,5426025;7956,375977;7966,010742
175,719;1170,643188;1099,699219;88,11720276;36,80696487;96,45970154;36,99837494;99,80563354;37,27389145;443,0056763;393,3620911;8046,222168;7944,454102
176,283;1108,435669;1062,762573;80,0499115;32,14438629;89,33133698;32,05376816;93,67771912;32,86400986;410,1220398;357,3830261;7584,201172;7509,929688
176,847;1041,978638;988,6727295;81,91795349;34,19667816;92,70296478;34,36510849;94,82282257;34,81615829;399,9894409;349,353363;7176,396484;7148,255859
177,411;997,0331421;951,5716553;86,73217773;37,82043457;95,76011658;37,0209198;100,2192001;37,74425125;392,1467896;347,3200989;6885,245605;6854,499023
177,975;1011,56897;913,5042114;63,40804672;24,84287643;67,67615509;25,00745201;70,37583923;25,54794884;364,6029053;283,6274109;7251,330566;7179,484863
178,538;1062,374878;991,1021118;67,96399689;24,53271294;72,30737305;24,91957855;76,33083344;25,24826622;398,3239136;328,4949036;7459,789551;7481,472656
179,102;1098,36145;1058,113281;86,71318054;37,96313477;94,34763336;37,35414886;96,29209137;37,91276932;417,2561646;379,3337708;7597,541504;7624,810547
179,666;1112,128906;1063,01709;87,13861847;40,23622513;94,53331757;39,16550064;99,81125641;40,49144745;430,2358398;380,1020813;7561,541504;7533,089844
180,229;1059,307739;1002,066589;82,30275726;38,63863754;92,0978775;37,44315338;95,83193207;37,68402863;413,7113953;364,3183899;7292,085938;7170,460938
180,793;1038,411499;988,6143799;84,64842224;37,04105377;91,98244476;36,49858856;93,92834473;37,37059784;400,7084656;350,9341431;7081,577148;7041,818848
181,356;1077,146729;1020,085632;83,40984344;37,43077087;90,42274475;36,12088394;94,35977173;36,99721146;407,587616;366,5246887;7351,680664;7308,603516
