Filename-->;fres200_410ms_15deg.RAW8;fres200_410ms_15deg_dark.RAW8;fres400_85_15deg.RAW8;fres400_85_15deg_dark.RAW8;IL200_4.7ms_15deg.RAW8;IL200_4.7ms_15deg_dark.RAW8;IL400_6.1ms_15deg.RAW8;IL400_6.1ms_15deg_dark.RAW8;water200_1.5s_15deg.RAW8;water200_1.5s_15deg_dark.RAW8;water400_259ms_15deg.RAW8;water400_259ms_15deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;410,5248718;410,5248718;85,19192505;85,19192505;4,720886707;4,720886707;6,129270077;6,129270077;1491,4823;1491,4823;259,3998413;259,3998413
NrOfAverages-->;1;1;6;6;100;100;82;82;1;1;2;2
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];200 mu 410 ms 15 deg air;200 mu 410 ms 15 deg air dark;400 mu 85 ms 15 deg air;400 mu 85 ms 15 deg air dark;200 mu 4.7 ms 15 deg IL;200 mu 4.7 ms 15 deg IL dark;400 mu 6.1 ms 15 deg IL;400 mu 6.1 ms 15 deg IL dark;200 mu 1.5 s 15 deg water;200 mu 1.5 s 15 deg water dark;400 mu 259 ms 15 deg water;400 mu 259 ms 15 deg water dark
168,952;981,8914185;874,6124268;258,0149536;187,226532;85,66532135;31,14822769;96,70214844;31,85054398;3349,675537;3383,707275;714,1660767;666,7731323
169,516;962,4082031;860,5393066;252,3218842;180,3807526;89,93321991;32,10957336;101,4051743;34,42472458;3360,469971;3280,416748;718,7221069;655,7194214
170,080;938,4831543;894,4779663;253,8007813;187,8703003;91,70317841;31,26070213;102,0068665;35,15727997;3457,61792;3365,172607;716,8300171;662,1743164
170,644;924,8451538;877,5065308;252,4403687;190,0418396;90,40341949;31,41017723;100,3718185;34,32761383;3388,480225;3323,286377;704,6766968;649,1953125
171,208;887,0987549;842,5957642;225,8940887;165,3903656;76,63877869;27,66853333;86,82041931;29,22882271;3208,173584;3167,641113;664,8823853;626,2608643
171,772;950,4575806;871,5613403;247,9185028;185,7178345;86,15750885;30,3591671;97,10979462;31,77807808;3392,134521;3340,50415;721,2597046;665,2355957
172,336;946,7846069;922,4842529;258,9969788;203,5380554;86,29749298;31,36058617;97,5704422;33,82792282;3579,808838;3456,197754;737,6280518;704,1789551
172,900;957,0285645;859,5313721;253,5316162;188,5460663;84,4174118;29,77972031;95,44481659;32,0955658;3413,229736;3386,38501;698,8468018;653,213562
173,464;993,7846069;898,4842529;259,3303223;197,5380554;86,41749573;30,14058685;94,6680069;32,87670135;3500,808838;3430,197754;729,6280518;677,1789551
174,028;947,8451538;873,5065308;249,7737122;187,5418396;80,80342102;28,28017616;88,99377441;31,1081028;3393,480225;3369,286377;719,6766968;660,1953125
174,592;914,9918823;850,614502;240,969223;173,7268982;79,3000946;25,93818855;85,91439819;27,67978287;3375,739014;3342,715576;694,7654419;650,2746582
175,156;998,6936646;960,524353;253,6284332;197,8782043;79,71817017;27,98984909;90,23731232;30,86395454;3590,017578;3598,357178;750,015625;700,708374
175,719;1002,015808;938,5730591;250,7571411;188,7198334;72,90958405;26,52895164;85,45969391;27,20474625;3617,487793;3627,550781;731,8116455;696,7442017
176,283;966,5054321;881,6253052;238,9207764;168,7287292;66,71559906;24,08798981;76,47483063;25,44792747;3423,064209;3422,758545;704,7731934;657,7825928
176,847;884,9775391;829,5512695;224,0072784;166,3827972;70,81692505;24,86935234;79,91279602;27,09529114;3236,830566;3153,464111;675,2850952;622,2282104
177,411;852,0142212;819,4680786;219,7363281;164,2019653;77,54424286;26,06088448;86,02856445;30,1452198;3086,321045;3034,133545;646,366394;598,1671143
177,975;835,5993652;753,2357788;186,9436188;102,6659927;48,94299316;21,71675491;54,44478989;22,89072037;3197,48584;3174,185547;587,0394287;552,7310791
178,538;920,8243408;831,9047852;203,7872009;142,9429779;51,40374756;20,8328476;59,36566162;21,2001667;3377,497559;3292,869629;644,4420776;618,487915
179,102;956,6442261;874,5023193;229,3651428;184,7077942;73,17388153;26,96025467;80,63025665;29,40084457;3462,353027;3374,269531;698,9780273;636,6921997
179,666;931,8707275;871,4230957;236,1559906;184,6943054;75,82910156;27,79171181;83,89084625;30,59705925;3416,963867;3309,954834;674,2470093;647,6340332
180,229;908,8132935;835,4638672;224,9944153;184,7012482;73,8147049;26,58096123;81,4943161;29,36478996;3267,193848;3238,116699;665,6677246;618,6640015
180,793;865,6889038;786,5032349;226,7522278;173,8746185;72,79044342;25,9602375;81,39530945;29,10814857;3137,381348;3099,273193;640,5221558;623,1929321
181,356;902,5612793;860,4795532;229,2281799;179,5372467;73,27466583;26,70067215;81,62316895;29,15725517;3248,66748;3165,179199;677,4072876;652,6755371
181,920;951,1339111;907,4076538;246,7689972;194,8583374;73,92077637;27,33199692;82,30997467;30,19483376;3560,497314;3507,893311;708,0184937;704,6226807
182,484;931,5756836;902,3959351;242,7637024;200,689682;70,53871155;26,72221184;79,33812714;28,39011765;3453,143799;3428,84668;696,9665527;678,1140747
183,047;976,7542725;934,5465698;235,4051666;187,215332;63,1140976;24,80943871;71,53868866;27,72950172;3566,689209;3540,445557;708,56427;689,2247314
183,611;904,3444214;844,4540405;221,9299774;177,5329132;63,8957634;24,86114311;71,66236115;27,98687553;3252,896973;3231,077637;660,2041016;621,6567383
184,174;799,3969116;745,8328247;184,4946594;137,0973969;47,77984619;19,14417076;57,34513855;21,48164749;3042,327393;3015,58374;594,5532837;529,9350586
184,737;803,5213623;754,7935181;199,2368622;146,4240265;49,0440979;19,42489433;56,99292374;20,48219109;3130,139648;3123,427246;632,1988525;565,9061279
185,301;878,274231;826,536499;213,9939423;170,8802795;59,00352097;22,13962555;64,76851654;23,81500626;3185,385254;3169,405518;651,0896606;592,2173462
185,864;895,8691406;864,4650269;225,2282867;182,2014465;65,31290436;23,62093925;72,51467133;26,47452927;3233,229248;3188,121582;645,7229004;614,164856
186,428;921,2056274;857,4301758;218,7258301;181,8621674;62,29833984;24,80158234;70,59833527;26,88964462;3333,175781;3252,982666;679,578186;649,6392212
186,991;838,3109131;778,4533691;200,8896637;162,0327911;55,9108429;22,2311554;64,5672226;23,86493492;3031,875732;3010,074951;625,1710205;596,65625
187,554;837,2981567;801,4950562;199,7818451;156,3732147;55,40300369;21,6103878;63,27722168;22,91313934;3028,134033;3037,240723;606,6358643;593,1868896
188,118;894,9902954;845,5095825;216,9484253;168,5423584;54,53476715;20,50012016;61,70279694;23,0592804;3287,572266;3289,29834;660,3202515;615,6975708
188,681;919,9552612;859,4039307;227,5539551;179,0243683;61,23450851;23,00206566;68,76190186;26,2436657;3407,384277;3362,878418;683,3418579;645,1199341
189,244;904,5023193;847,4154053;222,2124786;177,8596649;59,83493423;24,26185417;69,81991577;24,48740959;3335,730469;3269,924072;670,8827515;636,1283569
189,807;817,5085449;780,8352051;190,6290588;137,2644653;45,6762619;19,59412766;52,23950958;19,92063904;3121,397949;3087,593018;614,1636963;567,9367676
190,370;824,430481;773,5397949;201,5154266;159,5475006;52,31650543;21,12956429;61,23282623;22,97349739;3052,484131;3056,418457;596,2442017;556,7197266
190,934;856,9105835;802,5498657;204,7599792;156,3825531;44,21707916;19,26937866;52,7103157;20,5221386;3194,788086;3197,458496;637,218811;584,7271729
191,497;831,0987549;758,5957642;192,0607452;152,7236938;52,69878006;20,68853378;59,34481049;22,50930977;3016,173584;3012,641113;621,3823853;558,7608643
192,060;843,4576416;812,4144287;209,9920654;171,8594971;57,22837067;22,36187172;65,26217651;25,46303177;3164,702148;3147,92041;635,338623;605,1276855
192,623;1013,25354;949,347229;235,301651;194,5147247;57,14730072;23,75310898;64,11575317;25,86639977;3652,673584;3602,653076;729,1705933;682,0783081
193,186;945,352417;913,3912354;224,8282318;183,855545;51,74587631;22,55229759;59,70792389;23,35359573;3453,002441;3352,828125;686,2457886;654,1106567
193,749;944,8500366;920,3807373;228,890152;183,0204163;49,42201996;21,10249138;57,1832695;23,3537426;3551,684326;3496,786133;707,7490845;668,1029053
194,312;888,4161377;861,4765625;207,8868103;166,5367279;47,17333221;18,93072891;52,56048965;21,0231514;3470,575439;3424,166992;684,7637939;639,6732788
194,875;899,3842773;848,4338989;207,1075287;169,1961365;51,2046051;19,79151344;57,23176956;22,2432518;3339,289063;3309,997559;656,7548218;632,6419678
195,438;942,4623413;903,7293091;197,0545044;149,9131012;42,05436707;16,06607628;45,28723526;17,66600418;3527,202881;3496,171875;665,1743164;653,3590088
